ochisam tourman taro ideyan satomin hatta God uchiyan kamiyan nikuyan gayasan oda bady dat kome buebue imai inaba haiji JANE qrr Mnaga Kuno yatoh nakao poh
4/22 nakao -27  tourman -19 uchiyan +37 yatoh +9
5/1 uchiyan +34 satomin +3 kamiyan -14 ochisam -23
5/1 ochisam +42 satomin +2 uchiyan -14 kamiyan -30
5/10 haiji +39 uchiyan +5 tourman -14 kamiyan -30
5/10 haiji +38 uchiyan +8 satomin -6 tourman -40
5/10 satomin +42 tourman -5 haiji -16 uchiyan -21
5/10 tourman +72 satomin -10 haiji -26 poh -36
5/13 haiji +72 uchiyan -9 tourman -14 poh -40
2013-09-21 taro kuroneko 
2013-09-21 taro kuroneko 
